Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Ravager Bruiser,false,44,18838,7,6,8,4,4,0,3,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Ravager Stitcher,false,53,32098,8,6,9,5,5,0,3,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Red Guardian,false,76,114403,8,6,14,6,7,6,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Red Hulk,false,95,388864,8,8,17,7,8,7,6,Raider,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Red Skull,false,71,95971,8,8,13,6,6,7,4,Fortifier,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Rescue,false,74,79819,8,6,12,6,6,6,4,Fortifier,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Rhino,false,65,71439,8,6,12,6,6,6,5,Skirmisher,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,Rocket Raccoon,false,80,125297,8,7,15,6,6,7,4,Raider,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Rogue,false,92,286784,8,7,17,8,7,7,6,Skirmisher,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Ronan the Accuser,false,65,58064,8,7,10,6,6,6,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,S.H.I.E.L.D. Assault,false,71,78883,8,6,13,6,6,0,5,Raider,5,5,5,5,5,5
mgmf,SIGMA Infamously Strange,S.H.I.E.L.D. Medic,false,70,78733,8,6,13,6,6,0,5,Striker,5,5,5,5,5,5
mgmf,SIGMA Infamously Strange,S.H.I.E.L.D. Operative,false,66,61022,8,5,12,6,6,0,4,Striker,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,S.H.I.E.L.D. Security,false,71,82289,8,7,13,6,6,0,4,Skirmisher,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,S.H.I.E.L.D. Trooper,false,70,69469,8,6,13,6,6,0,4,Striker,2,2,2,2,2,2
mgmf,SIGMA Infamously Strange,Sabretooth,false,86,211467,8,8,16,6,7,6,4,Raider,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Scarlet Spider,false,90,235125,8,7,16,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Scarlet Witch,false,90,249108,8,7,17,7,7,7,4,Skirmisher,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Scientist Supreme,false,75,88150,8,6,13,6,7,6,4,Healer,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Scream,false,82,170909,8,8,15,6,7,7,4,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Sersi,false,95,342166,8,8,16,7,7,7,5,Skirmisher,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Shang-Chi,false,90,203978,8,7,16,6,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Sharon Carter,false,90,209802,8,7,16,6,7,7,4,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Shatterstar,false,80,140771,8,6,15,6,7,6,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,She-Hulk,true,90,227592,8,7,17,6,7,6,5,Skirmisher,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Shocker,false,65,54841,8,7,10,6,6,6,4,Striker,1,1,1,1,1,1
mgmf,SIGMA Infamously Strange,Shuri,false,90,211660,8,7,16,7,7,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Sif,false,85,171339,8,8,15,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Silver Samurai,false,86,183954,8,7,15,6,7,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Silver Surfer,false,85,183768,8,7,15,7,7,7,5,Striker,8,8,8,8,8,8
